word,translation,partofspeech
sekreto/a,secret,
sekso,sex,
selebrar,celebrate,
seleksión,selection,(f)
selo,jealousy,
selula,cell,
selví,cypress,(m)
semana,week,
sementario;betahayim,cemetery,
sena,dinner,
senar;komer por la noche,dine,
sensia,science,
senso,sense,
sentéya,spark,(f)
sentimiento,feeling,
sentirse bien,feel good,
sentro,center,
senyór;sinyór,master;gentleman;lord,(m)
senyóra;sinyóra,lady;mistress;owner,(f)
separar,separate,
ser,thirst,
ser,thirsty,(tener)
séra,wax,(f)
seremonia de aviertura,inauguration;opening,
seriozamente,seriously,
serka,near;close,
serkano/a,near;close,
serradura,lock,
serrar,shut,
servisio militar,military service,
sesamo,sesame,
sevoya,onion,
shabát,Saturday,(m)
shaka,joke,
shakaruka,flirtatious remark,
shakéka,headache,(f)
shal,shawl,
shalóm,salute;greetings,(m)
shampinyon,mushroom,
shara tropikal,jungle,
sharópe,syrup;jam,(m)
shashearse,be stunned,
shaten,chestnut-coloured,
shavon,soap,
shef,chief,
shefteli,peach,
shena,scene,
shoá,holocaust,(f)
shofár,ram horn used as Jewish traditional,(m)
shofor,driver,
shok,shock,
shukur,thanks,
si,yes;if,
si,yes;if;himself;herself;it,(konj)
si no,except,
siedra,left,
siedrero/a,left-handed,
siego/a,blind,
siempre,always,
siémpre;syémpre,always,(adv)
siérto;syérto,certain,(adv)
sieten,seventh,
sigaro,cigarette,
síglo;syéklo;syékolo,century,(m)
sigonya,stork,
siguiente,next;following,
siguir,follow,
siguro,secure;safe,
silaba,syllable,
silensio,silence,
silueta,silhouette,
simán;sinyál,signal;indication;mark,(m)
simpatiko,sympathetic,
sin,without,
sin braso,one-armed,
sinagóga,synagogue,(f)
sinema,cinema,
siníza;seníza,ash,(f)
sinken,fifth,
sinko,five,
sinkuenta,fifty,
sinsero,sincere,
sintír;sentír,feel;hear,(v)
sintura,belt,
sinyal,sign;mark,
sinyalar,signal;point out,
sinyatura,signature,
sinyifikar,signify,
sinyifikasion,meaning,
sinyo,sign,
sinyor,gentleman,
sirá,row;rank;opportune moment,(f)
sirkular,circulate,
sirkulasion,circulation;traffic,
sirkunstansia,circumstance,
sistema,system,
sitio,site,
situar,situate,
situasion,situation,
sivdad,city,
sivil,civil,
siya,chair,
soko;merkádo,market;souk,(m)
sol,sun,
solamente,only,
soldado,soldier,
soleado,sunny,
soledad,solitude,
solo,only,
solo/a,alone,
solombra,shadow,
soltero;muchacho,bachelor,
sólu,only,(adj)
solusion,solution,
someter,submit,
son,sound,
sonár,ring,(v)
sonéte,sound,
sonído;sonéte,sound;noise,(m)
sonreír;sonriír;sonriyír,smile,(v)
sonyar,dream,
sorprender,surprise,
sosyal,social,
sovrár,be left over;remain,(v)
sovre,upon;on,
sovre el punto,ready,
spiker,announcer,
stilista,stylist,
stilo,ballpoint pen;fountain pen,
su,his;hers;its;one's,(adj)
subsistir;turar,subsist;last,
sud;sur,south,(m)
sudito/a,subject,
suerte,luck;fortune,
sufrir,suffer,
sugjerar,suggest,
sujeto,subject,
suksedar,succeed;follow,
suksesion,succession,
suksesivamente,successively,
suksesivo/a,successive,
sumo,juice,
supa,soup,
superfisial,superficial,
supermarket,supermarket,
suportar,support;endure,
supozar,suppose,
surjir,arise,
survivir,survive,
suvida,slope,
suvir,mount;get up on,
suzio/a,dirty,
syélo;siélo,sky,(m)
syén;sién,temple,(f)
tablo,picture;painting,
tabló préto,blackboard,(m)
tadre,late,
tafta,taffeta,
tajada,big slice,
takia,cap,
tal,such,(adj)
tambien,too;also,
tambur,drum,
tan,so,(adv)
tank,tank,
tánto;tánta,so much;so many,(adv)
tanyer,ring;play,
tapar,put the lid on,
tapon,lid,
tartalear,stutter,
tasa;kupa,cup,
te,you;to you;yourself,(pron)
teatro,theatre,
techo,roof;ceiling,
tefter,notebook,
teja,tile,
teknisyen,technician,
teksto,text,
telefon,telephone,(m)
telefonar,telephone,(v)
telekomunikasion,telecommunication,
tema,theme;subject,(m)
temeridad,rashness;courage,
temerozo/temeroza,rash;reckless,
tempesta;furtuna,tempest,
temporalmente,temporarily,
temprano,early,
tener,have;hold,
tener ozadia,dare,
tener sangluto,hiccough;hiccup,
tener temor,fear,
tenta,marquee;canopy,
tepsí;tipzím,oven pan;tray,(m)
terminar,terminate;finish,
terrivle,terrible,
tezis,thesis,
ti,you,
tía;tiya,aunt,(f)
tiémpo;tyémpo,while;time;weather,(m)
tierra de pais,territory,
tiérra;tyérra,earth;world,(f)
tijéra,scissors,(f)
timaraná,madhouse;mental hospital,(f)
timbro;muur,stamp;seal,
timido/a,timid,
timón,rudder,(m)
tínya,ringworm,(f)
tío;tíyo,uncle,(m)
tipo,type,
tiralánya,spider;spider's web,(f)
tirár;travár sóvre,shoot,(v)
títolo;título,title,(m)
toáf,odd,(adj)
todo en saviendo,knowingly,
todo enduna,all at once,
todo/a,all,
tóka,muslin scarf,(f)
tomár,take,(v)
tomar al pelo,pull one's leg,
tomar dush,shower,
tomar haber;informarse,find out,
tomar savor,taste,
tomat,tomato,
tomát reynádo,meat-filled tomatoes,(m)
topar,find,
toparse,to be present,
Torá,Torah,(f)
torero,bull-fighter,
tornar,turn,
torno,turn off,
toro,bull,
torsér,distort;twist,(v)
total,total,
tractor,tractor,
tradision,tradition,
tradision,tradition,
tradisión;tradisyón,tradition,(f)
traduizir,translate,
traduksión;traduksyón,translation,(f)
traduktor/a,translator,
traer,bring,
trafiko,traffic,
traidor-a,traitor,
trajedia,tragedy,
tramvay,streetcar,
trankilizar,reassure,
tranzito,transit,
trápo,rag,(m)
tratar,treat;deal,
travádos,nut-filled pastry,(m)
travar,pull;shoot,
traversar,go across,
trazera,back;rear,
tremblante,trembling,
tremblar,tremble,
tréno,train,(m)
tres,three,
tresalído,delighted,(adj)
tresalírse,be delighted,(v)
treser,third,
tresladar,translate,
trezoro,treasure,
trigónas,walnut-filled fila triangles,(f)
triko;sueter,jersey;sweater,
tripa,belly,
triste,sad,
triunfar,triumph,
trokar,change,
trokar de opinion,change one's mind,
tronko,trunk,
trupa de bestia,livestock,
tu,your,
tualeta,water closet,
tubo,tube,
turar,last;endure,
turkáno;turkána,of Turkish origin,(adj)
turko,Turkish,
tútano,marrow of bone,(m)
tutuayar,be on familiar terms,
ultimo/a,ultimate;last,
umanidad,humanity,
úmido,damp;humid,(adj)
umiliar;arrebashar,humiliate,
umiliasion,humiliation,
umo,smoke,
un,one,(adj)
una vez ke,since;considering,
Ungaria,Hungary,
unidad,unity,
unido/a,united,
uniko/a,unique,
unir,unite,
universal,universal,
universitá;universidad,university,(f)
úno,one;identical,(adj)
uno a otro,mutually,
unya,nail,
urbano/a,urban;refined,
uzado;uzada,used;worn,
uzár,to use,(v)
úzo,use;usage;custom,(m)
vaka,cow,
vakansas,holiday,
valer,be worth,
valer la pena,be worth the trouble,
validja,suitcase,
valór,value;worth,(f)
valutozo/a,valuable,
vano/a;vaziyo/a,vain,
vario;varia,various,
varón,man;adult male,(m)
vava;nona;granmama,grandmother,
vaziyo/a,empty,
vazo,vase,
vedra,truth,
vedre,green,
vela,sail,
véla,flag,(f)
vender,sell,
vendida,sale,
vengansa,vengeance,
venir,come,
ventana,window,
vente,twenty,
ventozo,windy,
ver,see,
vérbo,verb,(m)
verdad,truth,
veremos,let us see,
verse,see each other,
versión,version,(f)
verso,toward,
verter,pour;spill,
vestído;vistído,clothing;suit,(m)
vestir,wear,
vestirse,dress;get dressed,
vez,time;instance,
vezino/a,neighbour,
vezíno,neighbour,(m/f)
viajar,travel,(kon)
viaje,travel,
vida,life,
vidro,glass,
vidro delantero,windscreen;windshield,
viejo/a,old,
viejo/a;aedado/a;nikochiri,old;aged,
viérnes,Friday,(m)
vijita,visit,
vijitar,to visit,
viktima,victim,
viktoria,victory,
víno,wine,(m)
víno kolorádo,red wine,
viraje,curve,
vísta,view;sight,(f)
vistirse,get dressed,
vitál,vital,(adj)
vitamina,vitamin,
vitrina,showplace;showcase,
vizíno,neighbour,(m/f)
vokal,vowel,
voluntad,will,
vos,you;to you;to yourselves,(pron)
votasion,vote;voting,
vozótros,,(pl)
vuestro;vuestra,your;yours,(adj+ pron)
vuvuayar,address as plural you,
ya,already;indeed,
ya basta,enough,
ya;pishin,already;at once,
yakishiklí,handsome,(adj m/f)
yamar,to call,
yáno,flat;level,(adj)
yanúra,plain,(f)
yaúrt;yogúrt,yogurt,(m)
yaurtchí;yaurchí,yogurt pedlar,(m)
yave,key,
yegár,arrive,(v)
yeláda,ice-cream,(f)
yeládo,cold,(adj)
yélo;buz,ice;frost,(m)
yéma;géma,yolk,(f)
yeno/a,full,
yeno de djoya,bejewelled,
yerno,son-in-law,
yerrarse,be wrong;make a mistake,
yerro,mistake,
yerva,grass,
yerva,turf,
yerva seka,hay,
yevar,carry;take,
yevrék;simit,sesame-covered bread rings,(m)
yíddish;yídish,yiddish,(m)
yo,I,(pron)
yorar,cry,
zarzavát;zerzevát,vegetables,(m)
zerdelí,small apricot,(m)
zirguéla;pruna,plum,(f)
zodiako,zodiac,
zor,difficult,
